image_path,label,mean_intensity,variance,median_intensity,min_intensity,max_intensity,entropy,edge_density,contrast,smoothness,skewness,kurtosis
chest_xray_split/train\NORMAL\IM-0071-0001.jpeg,NORMAL,130.28019866146542,3617.5005937364717,140.0,0,255,7.42136,0.0007552625347408303,3617.5005937364717,0.9997236424386026,-126148.95448184838,2.5526999021566232
chest_xray_split/train\NORMAL\IM-0073-0001.jpeg,NORMAL,131.6697288490632,2890.885625959294,139.0,0,255,7.4077663,0.0027196555335738393,2890.885625959294,0.9996542048582339,-114923.86425916073,3.1462783174997107
chest_xray_split/train\NORMAL\IM-0079-0001.jpeg,NORMAL,137.60278778379666,3691.3845295835567,146.0,0,255,7.6156645,0.0008125498391398795,3691.3845295835567,0.9997291723026169,-146459.6357806288,2.780826020994428
chest_xray_split/train\NORMAL\IM-0083-0001.jpeg,NORMAL,128.00186224934612,3083.10890673255,142.0,0,255,7.2540817,0.000927637314734089,3083.10890673255,0.9996757572348314,-149326.75194933012,3.0970855747836388
chest_xray_split/train\NORMAL\IM-0084-0001.jpeg,NORMAL,129.79082832932596,4143.977431190271,136.0,0,255,7.744206,0.0008794436882264056,4143.977431190271,0.9997587441628812,-104180.22525895371,2.2110429898559203
chest_xray_split/train\NORMAL\IM-0086-0001.jpeg,NORMAL,108.92709585139175,4189.264064048469,117.0,0,255,7.532158,0.001185696845125131,4189.264064048469,0.9997613515557218,-45567.29070783285,1.8444429047784998
chest_xray_split/train\NORMAL\IM-0087-0001.jpeg,NORMAL,117.66182600117752,4073.0783233465,125.0,0,249,7.3761854,0.001110058368717175,4073.0783233465,0.9997545457105551,-95095.6498375616,2.1460238295894256
chest_xray_split/train\NORMAL\IM-0089-0001.jpeg,NORMAL,136.24069489648906,3819.2268882278895,143.0,0,255,7.643707,0.00032801363520118434,3819.2268882278895,0.9997382354427478,-110341.49539659519,2.1747431697482553
chest_xray_split/train\NORMAL\IM-0091-0001.jpeg,NORMAL,119.52718166529455,3646.6794020815105,123.0,0,255,7.6284904,0.0012431595954971097,3646.6794020815105,0.9997258531000752,-58651.59799298493,2.387600627840109
chest_xray_split/train\NORMAL\IM-0093-0001.jpeg,NORMAL,148.2246865042387,3008.9381723667075,157.0,0,255,7.5260663,0.0003642763160190837,3008.9381723667075,0.9996677672620718,-108349.37812297334,2.652947054220897
chest_xray_split/train\NORMAL\IM-0095-0001.jpeg,NORMAL,119.6571662975417,4760.0969765280315,125.0,0,255,7.632462,0.00103870048390934,4760.0969765280315,0.999789964370621,-96738.32479348262,1.9400969302407745
chest_xray_split/train\NORMAL\IM-0097-0001.jpeg,NORMAL,122.19022586129132,4628.5440660038785,134.0,0,255,7.5646114,0.0008590361863789335,4628.5440660038785,0.9997839960078697,-136909.30765529824,1.9532232524639954
chest_xray_split/train\NORMAL\IM-0099-0001.jpeg,NORMAL,109.72550923203289,4088.3980218979304,115.0,0,255,7.356584,0.0007675134831260439,4088.3980218979304,0.999755465231155,-76883.13966663263,2.077352794084792
chest_xray_split/train\NORMAL\IM-0101-0001.jpeg,NORMAL,100.97084731924159,3849.0891634267173,104.0,0,255,7.449313,0.003501769028395174,3849.0891634267173,0.9997402657555312,-23653.800378199172,1.8896338512764377
chest_xray_split/train\NORMAL\IM-0102-0001.jpeg,NORMAL,93.48861324877828,3049.216011583268,100.0,0,255,7.198027,0.0024544687389792936,3049.216011583268,0.9996721543667063,-40114.46893857362,2.029711182821433
chest_xray_split/train\NORMAL\IM-0103-0001.jpeg,NORMAL,134.19751378592557,3855.5713913524874,142.0,0,255,7.664462,0.0004355500371276583,3855.5713913524874,0.9997407023237681,-123451.63919878067,2.337048000183861
chest_xray_split/train\NORMAL\IM-0105-0001.jpeg,NORMAL,131.4506475726211,4085.339780902581,143.0,0,255,7.671283,0.0004957020122760489,4085.339780902581,0.9997552822198796,-157946.61093556456,2.3921457748817745
chest_xray_split/train\NORMAL\IM-0107-0001.jpeg,NORMAL,120.00323684210527,4315.418462232404,129.0,0,255,7.530154,0.0014751461988304093,4315.418462232404,0.9997683264473197,-122679.57026235294,2.158119325953446
chest_xray_split/train\NORMAL\IM-0110-0001.jpeg,NORMAL,122.98193408890894,4118.693519568228,134.0,0,255,7.5522285,0.0018152279607648676,4118.693519568228,0.9997572634966048,-135324.35466144618,2.363615631793556
chest_xray_split/train\NORMAL\IM-0111-0001.jpeg,NORMAL,127.79660308671491,3249.674818273775,141.0,0,255,7.450753,0.0007224568354140465,3249.674818273775,0.9996923715671655,-134180.14701045174,2.720782608812829
chest_xray_split/train\NORMAL\IM-0115-0001.jpeg,NORMAL,128.90747832983968,3881.418383359508,137.0,0,255,7.675978,0.0004377810167850392,3881.418383359508,0.9997424285841304,-109926.4460390147,2.2060633606124354
chest_xray_split/train\NORMAL\IM-0117-0001.jpeg,NORMAL,100.6506241209564,3577.0384107879995,102.0,0,255,7.530518,0.0031657778559149867,3577.0384107879995,0.9997205172540952,-7640.0868268784125,2.0119803941313954
chest_xray_split/train\NORMAL\IM-0119-0001.jpeg,NORMAL,121.97153039444586,4741.207667100859,134.0,0,255,7.303871,0.0005717500019263814,4741.207667100859,0.9997891277501537,-153391.39726995127,2.0639177014898604
chest_xray_split/train\NORMAL\IM-0122-0001.jpeg,NORMAL,132.98618841396294,4221.187047995647,150.0,0,255,7.573737,0.0004537498876497882,4221.187047995647,0.9997631559216509,-186134.31822892107,2.3299003728927987
chest_xray_split/train\NORMAL\IM-0128-0001.jpeg,NORMAL,97.19631375883152,3459.3509001611533,107.0,0,255,7.0749683,0.0026378286464443903,3459.3509001611533,0.9997110119670368,-69613.03989865775,1.9165706993840472
chest_xray_split/train\NORMAL\IM-0129-0001.jpeg,NORMAL,115.63772344978231,3906.7687493858725,123.0,0,255,7.4192047,0.0034950790277922246,3906.7687493858725,0.9997440994940765,-88659.9435079458,2.1273596490521585
chest_xray_split/train\NORMAL\IM-0131-0001.jpeg,NORMAL,109.54809500843983,3028.556438980122,118.0,0,255,7.1810684,0.0020653484446587897,3028.556438980122,0.9996699186761687,-92539.05618317271,2.3560209193327037
chest_xray_split/train\NORMAL\IM-0137-0001.jpeg,NORMAL,127.72222293385254,2781.01247614457,136.0,0,255,7.3935137,0.0031069779622323558,2781.01247614457,0.9996405479815152,-106873.98946760586,3.1660211039694346
chest_xray_split/train\NORMAL\IM-0141-0001.jpeg,NORMAL,118.14381818037987,3973.9306583819234,124.0,0,255,7.4546833,0.002639010845575148,3973.9306583819234,0.999748423284343,-88592.49636502974,2.174392058188015
chest_xray_split/train\NORMAL\IM-0145-0001.jpeg,NORMAL,119.44838957254728,3653.8094900178094,129.0,0,255,7.3073635,0.002711688390526489,3653.8094900178094,0.9997263879272692,-119136.0980774005,2.3830956685038704
chest_xray_split/train\NORMAL\IM-0147-0001.jpeg,NORMAL,117.02452891394022,4230.61673411622,126.0,0,255,7.4657707,0.0010430554390713914,4230.61673411622,0.9997636837022744,-84671.41299114504,1.9921639778898186
chest_xray_split/train\NORMAL\IM-0152-0001.jpeg,NORMAL,129.01083061942754,3526.3094721842995,139.0,0,255,7.497052,0.0009379126980129173,3526.3094721842995,0.9997164977987086,-145621.08104174995,2.5886206323921592
chest_xray_split/train\NORMAL\IM-0154-0001.jpeg,NORMAL,110.05971930163308,4310.343632655272,121.0,0,255,7.13355,0.0016661185848023436,4310.343632655272,0.9997680537472295,-89685.59133921484,2.0025132130395047
chest_xray_split/train\NORMAL\IM-0156-0001.jpeg,NORMAL,112.35823894714373,2727.4572755765307,123.0,0,255,7.2763968,0.0024997331839163267,2727.4572755765307,0.9996334925201317,-93363.30133753907,2.661351046898873
chest_xray_split/train\NORMAL\IM-0158-0001.jpeg,NORMAL,105.56449647754602,3186.471654191208,113.0,0,255,7.278796,0.0036657942377218457,3186.471654191208,0.9996862717198802,-71903.8494761465,2.245581328535872
chest_xray_split/train\NORMAL\IM-0160-0001.jpeg,NORMAL,128.579742987606,2991.9201681270306,135.0,0,255,7.5184145,0.0015312024353120244,2991.9201681270306,0.9996658781578441,-91295.87784766743,2.728358966667271
chest_xray_split/train\NORMAL\IM-0164-0001.jpeg,NORMAL,132.55970144643416,2610.333419477265,143.0,0,255,7.422948,0.0020407406797252107,2610.333419477265,0.9996170538803888,-121496.69092858979,3.356854597749446
chest_xray_split/train\NORMAL\IM-0170-0001.jpeg,NORMAL,148.96676736972086,3586.874811131177,160.0,0,255,7.4793596,0.0007151286111194096,3586.874811131177,0.9997212834748588,-193564.56144529965,3.2224003439621405
chest_xray_split/train\NORMAL\IM-0172-0001.jpeg,NORMAL,141.0344629017016,3311.1406627685787,146.0,0,255,7.5559707,0.0011961924585809913,3311.1406627685787,0.9996980804555673,-118321.91614917305,2.9172182190963234
chest_xray_split/train\NORMAL\IM-0176-0001.jpeg,NORMAL,154.8842447319326,2714.670109143766,160.0,0,255,7.418536,0.0006816374590941065,2714.670109143766,0.9996317667611272,-127422.1937723016,3.975226039217794
chest_xray_split/train\NORMAL\IM-0178-0001.jpeg,NORMAL,142.1678408348936,3466.956162767298,155.0,0,255,7.4286118,0.0012961433519412962,3466.956162767298,0.9997116457206882,-181548.0388952164,3.112193289532965
chest_xray_split/train\NORMAL\IM-0180-0001.jpeg,NORMAL,138.3996546929974,3456.126049307614,150.0,0,255,7.564048,0.0008838383838383839,3456.126049307614,0.9997107423953489,-135822.81902296955,2.6675111692382933
chest_xray_split/train\NORMAL\IM-0183-0001.jpeg,NORMAL,119.3047416278554,4442.995716008239,127.0,0,255,7.498147,0.0008828903040479887,4442.995716008239,0.9997749772808291,-79638.9763873442,2.03933438449173
chest_xray_split/train\NORMAL\IM-0185-0001.jpeg,NORMAL,129.6469850491637,4293.371003549693,137.0,0,255,7.388193,0.0023031434796140678,4293.371003549693,0.9997671370267791,-152265.59823077044,2.405738186510006
chest_xray_split/train\NORMAL\IM-0189-0001.jpeg,NORMAL,123.03464399548774,3717.5267080033514,131.0,0,255,7.524704,0.0026048810611922543,3717.5267080033514,0.9997310762894757,-101894.67694462235,2.264819051090662
chest_xray_split/train\NORMAL\IM-0191-0001.jpeg,NORMAL,135.77797389544202,3954.498592319576,148.0,0,255,7.430434,0.000822582591738603,3954.498592319576,0.9997471873705273,-173041.317628978,2.713388562478812
chest_xray_split/train\NORMAL\IM-0193-0001.jpeg,NORMAL,111.98964678610382,3796.9909959671936,123.0,0,255,7.2460318,0.00041634984778454606,3796.9909959671936,0.9997367029039664,-101306.5197390629,2.150118063759964
chest_xray_split/train\NORMAL\IM-0199-0001.jpeg,NORMAL,121.31764578341297,4154.349630371949,138.0,0,255,7.0862513,0.0014970131478886375,4154.349630371949,0.9997593463633744,-173781.24757249662,2.3761409119070054
chest_xray_split/train\NORMAL\IM-0201-0001.jpeg,NORMAL,102.9140894069452,3869.9238859331986,104.0,0,255,7.3291674,0.0032255339816075934,3869.9238859331986,0.9997416637398545,-24350.461439096645,2.0333246242048855
chest_xray_split/train\NORMAL\IM-0203-0001.jpeg,NORMAL,121.52624139381462,3778.935388739763,133.0,0,255,7.4336624,0.0020942640189502114,3778.935388739763,0.9997354452134344,-108497.15573859047,2.2490235319378384
chest_xray_split/train\NORMAL\IM-0206-0001.jpeg,NORMAL,117.34497991967872,2955.267813074974,126.0,0,255,7.3647776,0.00426706827309237,2955.267813074974,0.9996617356534556,-95823.32937915604,2.698224347480155
chest_xray_split/train\NORMAL\IM-0207-0001.jpeg,NORMAL,112.82037323999214,3595.965174519522,120.0,0,255,7.30414,0.004261054072736073,3595.965174519522,0.9997219878560171,-80225.30456304099,2.345313686803716
chest_xray_split/train\NORMAL\IM-0210-0001.jpeg,NORMAL,110.79361208209131,4436.195430769208,125.0,0,255,7.0617733,0.0021621882438721024,4436.195430769208,0.999774632419148,-120208.06911297259,1.9366691926573751
chest_xray_split/train\NORMAL\IM-0211-0001.jpeg,NORMAL,122.21970464073101,3515.586947966125,131.0,0,255,7.647233,0.0016166982179632047,3515.586947966125,0.9997156333641691,-97161.9002350324,2.230718169863022
chest_xray_split/train\NORMAL\IM-0216-0001.jpeg,NORMAL,108.21458519602265,4815.027666395185,112.0,0,255,7.3186116,0.002186308066987576,4815.027666395185,0.9997923599968128,-39988.3850680607,1.8548736435106228
chest_xray_split/train\NORMAL\IM-0218-0001.jpeg,NORMAL,124.90652991339664,3341.006878321876,128.0,0,255,7.5941744,0.0008362722363382445,3341.006878321876,0.9997007785931002,-78593.67043468589,2.527694331429597
chest_xray_split/train\NORMAL\IM-0221-0001.jpeg,NORMAL,137.94016637202614,4001.7952652207155,151.0,0,255,7.619881,0.0005067567567567568,4001.7952652207155,0.9997501745820755,-168809.54730585142,2.444126997684549
chest_xray_split/train\NORMAL\IM-0222-0001.jpeg,NORMAL,109.43704669623651,5688.009599772451,120.0,0,255,7.044639,0.0029479947290383035,5688.009599772451,0.9998242224797722,-82873.71156056337,1.6441298179520873
chest_xray_split/train\NORMAL\IM-0223-0001.jpeg,NORMAL,111.02289748432128,4001.1789787490184,116.0,0,255,7.5034075,0.0011590419591275684,4001.1789787490184,0.9997501361120255,-64214.383801296746,2.106562967049497
chest_xray_split/train\NORMAL\IM-0224-0001.jpeg,NORMAL,157.46725377302954,1934.1317448800062,164.0,0,255,7.359389,0.0011813403659383275,1934.1317448800062,0.9994832393181261,-73435.75497452634,3.8616123147340353
chest_xray_split/train\NORMAL\IM-0225-0001.jpeg,NORMAL,114.46706827419507,4030.9553379270233,113.0,0,255,7.709088,0.0002926481476905279,4030.9553379270233,0.9997519813797059,-33907.509194623424,1.9399281176803227
chest_xray_split/train\NORMAL\IM-0226-0001.jpeg,NORMAL,83.7752390030102,4396.409458298612,77.0,0,255,6.9588,0.0023417610662365223,4396.409458298612,0.9997725933849274,59975.26933181903,1.7363225293798514
chest_xray_split/train\NORMAL\IM-0227-0001.jpeg,NORMAL,114.3514861798543,3770.628246852456,125.0,0,255,7.1964192,0.0005297833096694576,3770.628246852456,0.999734862522351,-108524.7355463097,2.174576177175871
chest_xray_split/train\NORMAL\IM-0228-0001.jpeg,NORMAL,121.253257118662,6905.65453342632,121.0,0,255,7.4290714,0.004916904837514555,6905.65453342632,0.9998552121008571,18406.307685277763,1.7377777110016506
chest_xray_split/train\NORMAL\IM-0229-0001.jpeg,NORMAL,115.6448701911388,4039.570981409097,135.0,0,255,7.2395873,0.0009032262940889697,4039.570981409097,0.9997525102257574,-172652.1146947711,2.1769824262520547
chest_xray_split/train\NORMAL\IM-0230-0001.jpeg,NORMAL,124.55424602303034,3972.0214084640234,134.0,0,255,7.442692,0.0031366681309027014,3972.0214084640234,0.9997483023882354,-129846.6355910386,2.394884012698164
chest_xray_split/train\NORMAL\IM-0231-0001.jpeg,NORMAL,132.42993357373317,2934.9932714597053,137.0,0,255,7.4476476,0.0003095674911958837,2934.9932714597053,0.9996593997643929,-95370.13925755255,2.8156401817665104
chest_xray_split/train\NORMAL\IM-0234-0001.jpeg,NORMAL,104.10845191297824,4905.613894596674,110.0,0,255,7.123152,0.003762940735183796,4905.613894596674,0.9997961934601984,-40252.934234628,1.8150738143786629
chest_xray_split/train\NORMAL\IM-0235-0001.jpeg,NORMAL,115.38201431718062,4093.4453576459046,118.0,0,255,7.6331024,0.0010627753303964758,4093.4453576459046,0.9997557666759107,-72768.14873413,2.086054232592787
chest_xray_split/train\NORMAL\IM-0236-0001.jpeg,NORMAL,100.10975373582778,4302.218496058137,105.0,0,255,7.3241086,0.003426822773526388,4302.218496058137,0.9997676157971258,-18281.838705350823,1.8726349019398931
chest_xray_split/train\NORMAL\IM-0237-0001.jpeg,NORMAL,109.91540527295894,4689.573231853297,122.0,0,255,7.1070256,0.0028344604528079977,4689.573231853297,0.9997868064412236,-96142.2680505392,1.8952119626102175
chest_xray_split/train\NORMAL\IM-0238-0001.jpeg,NORMAL,110.4454169331316,3346.504152850219,117.0,0,255,7.453803,0.004999792027369198,3346.504152850219,0.9997012699747815,-60380.235887887815,2.3031624724725512
chest_xray_split/train\NORMAL\IM-0239-0001.jpeg,NORMAL,92.89415579152144,4196.393310976854,92.0,0,255,7.31443,0.0024916015959219333,4196.393310976854,0.9997617568986483,31529.69022873955,1.8768073900624977
chest_xray_split/train\NORMAL\IM-0240-0001.jpeg,NORMAL,120.32469961016182,3902.5714535176967,128.0,0,255,7.3006544,0.0007779295689131755,3902.5714535176967,0.9997438243383251,-126618.19518893049,2.294392991969959
chest_xray_split/train\NORMAL\IM-0241-0001.jpeg,NORMAL,119.66662211529894,3893.646182317061,125.0,0,255,7.397492,0.0011137841931747304,3893.646182317061,0.9997432372664453,-101525.35137141944,2.290787525561331
chest_xray_split/train\NORMAL\IM-0242-0001.jpeg,NORMAL,133.31319893076892,3095.4183708301016,141.0,0,255,7.5247564,0.0004942755649074693,3095.4183708301016,0.9996770462255938,-123938.34036843653,2.898659157177925
chest_xray_split/train\NORMAL\IM-0243-0001.jpeg,NORMAL,117.15648239181537,4348.319536001874,121.0,0,255,7.697271,0.0007626270839801495,4348.319536001874,0.9997700789763266,-64576.28493649362,1.8743758644501718
chest_xray_split/train\NORMAL\IM-0244-0001.jpeg,NORMAL,110.85098839087888,4093.4577594205175,130.0,0,255,7.0616236,0.001829071270310192,4093.4577594205175,0.9997557674156733,-144837.767482696,2.0170242464443273
chest_xray_split/train\NORMAL\IM-0245-0001.jpeg,NORMAL,125.92851711920737,3317.8031668328595,134.0,0,255,7.3680706,0.000986862732802408,3317.8031668328595,0.9996986865596629,-119101.49413809302,2.6582919185805296
chest_xray_split/train\NORMAL\IM-0249-0001.jpeg,NORMAL,118.58348168220066,5137.389283356949,130.0,0,255,7.511716,0.00025020763248630466,5137.389283356949,0.9998053864849752,-124049.36582951467,1.832792999214829
chest_xray_split/train\NORMAL\IM-0250-0001.jpeg,NORMAL,125.91102244859461,2859.998694012136,132.0,0,255,7.6097608,0.0015294284097340126,2859.998694012136,0.9996504717034325,-60937.236536270924,2.2981788699304744
chest_xray_split/train\NORMAL\IM-0255-0001.jpeg,NORMAL,106.07755321504254,4391.351058321324,112.0,0,255,7.3890715,0.004006660069853922,4391.351058321324,0.9997723314947458,-38330.01766761099,1.8931569298446869
chest_xray_split/train\NORMAL\IM-0256-0001.jpeg,NORMAL,102.71612809284974,4614.310661496665,111.0,0,255,7.113059,0.003488114354972965,4614.310661496665,0.9997833298615535,-53848.57185982058,1.804120857832129
chest_xray_split/train\NORMAL\IM-0264-0001.jpeg,NORMAL,98.5170115682383,5488.916591830957,105.0,0,255,6.7201567,0.001265533086591929,5488.916591830957,0.999817847870132,-16324.660153797397,1.6486060511437106
chest_xray_split/train\NORMAL\IM-0265-0001.jpeg,NORMAL,90.30370550580757,4127.897344160112,89.0,0,255,7.138871,0.0030192886285923455,4127.897344160112,0.9997578045863954,39586.274274082636,1.9934498465411332
chest_xray_split/train\NORMAL\IM-0268-0001.jpeg,NORMAL,142.7427150478896,3597.876925561252,150.0,0,255,7.6292076,0.0014175680104883644,3597.876925561252,0.9997221355382016,-154240.64523523452,2.8058014975196515
chest_xray_split/train\NORMAL\IM-0269-0001.jpeg,NORMAL,147.608775323221,3164.2774248647315,158.0,0,255,7.521455,0.0002598185688891176,3164.2774248647315,0.9996840719261622,-112565.52846853071,2.4414498076869733
chest_xray_split/train\NORMAL\IM-0270-0001.jpeg,NORMAL,122.79120983657954,3094.120931151249,134.0,0,255,7.4592676,0.002941621770814771,3094.120931151249,0.9996769108470253,-105608.39388648365,2.585363854899926
chest_xray_split/train\NORMAL\IM-0273-0001.jpeg,NORMAL,113.93739036972828,3324.6855373741196,117.0,0,255,7.5594187,0.003669270341787964,3324.6855373741196,0.999699310115535,-46257.44586043361,2.2998867719795095
chest_xray_split/train\NORMAL\IM-0274-0001.jpeg,NORMAL,133.99296260655723,3072.330816508653,144.0,0,255,7.555892,0.0005175983436853002,3072.330816508653,0.9996746201239943,-122784.46333246534,2.8436154726143235
chest_xray_split/train\NORMAL\IM-0275-0001.jpeg,NORMAL,105.89304028196366,4208.5126501750165,106.0,0,255,7.5677414,0.0008450174211345072,4208.5126501750165,0.9997624428091555,-27469.173139651248,1.919455577855723
chest_xray_split/train\NORMAL\IM-0277-0001.jpeg,NORMAL,128.89516173777952,3695.106256344864,140.0,0,255,7.59361,0.0008105383861362333,3695.106256344864,0.9997294450076257,-135888.76087600854,2.3634277473439638
chest_xray_split/train\NORMAL\IM-0278-0001.jpeg,NORMAL,130.02384095531096,3645.420546721018,139.0,0,255,7.4258013,0.0008827192726664451,3645.420546721018,0.999725758456221,-156291.9390120547,2.730350713784234
chest_xray_split/train\NORMAL\IM-0280-0001.jpeg,NORMAL,102.67264313208462,4220.207123790663,118.0,0,255,6.799831,0.0009755561617263745,4220.207123790663,0.9997631009399268,-104303.16567571502,1.856912094191942
